repair,model,iteration,nmut,mutation,ADQbefore,ADQafter,deltaED,EDbefore,EDafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,description
RANDOM,REGISTER,17,1,OptToMand,0.9296875,0.9609375,1.0,4.0,3.0,0.0,1.0,0.9296875,0.9609375,OptToMand Currency from OPTIONAL TO MANDATORY
RANDOM,REGISTER,18,1,AltToAnd,1.0,0.94140625,1.0,0.0,1.0,0.0,1.0,1.0,0.9921875,AltToAnd Currency from ALT TO AND
RANDOM,REGISTER,18,2,AndToAlt,0.94140625,1.0,1.0,1.0,0.0,1.0,0.0,0.9921875,1.0,AndToAlt Currency from AND TO ALT
RANDOM,REGISTER,19,1,OrToAndOpt,0.953125,0.9521484375,3.0,6.0,3.0,0.0,3.0,0.953125,0.97265625,OrToAndOpt CardReader from OR TO AND in OPT
RANDOM,REGISTER,19,2,AltToAnd,0.9521484375,0.9765625,1.0,3.0,2.0,3.0,4.0,0.97265625,0.9765625,AltToAnd Register from ALT TO AND
RANDOM,REGISTER,20,1,AndToAlt,0.892578125,0.951171875,3.0,5.0,2.0,0.0,3.0,0.892578125,0.951171875,AndToAlt Currency from AND TO ALT
RANDOM,REGISTER,20,2,OptToMand,0.951171875,0.98046875,1.0,2.0,1.0,3.0,4.0,0.951171875,0.98046875,OptToMand Protocol from OPTIONAL TO MANDATORY
RANDOM,REGISTER,21,1,OrToAlt,0.919921875,0.94921875,1.0,8.0,7.0,0.0,1.0,0.919921875,0.955078125,OrToAlt Currency from OR TO ALTERNATIVE
RANDOM,REGISTER,21,2,AndToAlt,0.94921875,0.97265625,3.0,7.0,4.0,1.0,4.0,0.955078125,0.97265625,AndToAlt Protocol from AND TO ALT
RANDOM,REGISTER,22,1,AndToAlt,0.892578125,0.951171875,3.0,5.0,2.0,0.0,3.0,0.892578125,0.951171875,AndToAlt Protocol from AND TO ALT
RANDOM,REGISTER,22,2,OptToMand,0.951171875,0.955078125,1.0,2.0,3.0,3.0,4.0,0.951171875,0.955078125,OptToMand BankCard from OPTIONAL TO MANDATORY
RANDOM,REGISTER,23,1,AndToOr,0.84375,0.892578125,3.0,7.0,5.0,0.0,3.0,0.84375,0.9482421875,AndToOr Currency from AND TO OR
