id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
90,RANDOM,EXAMPLE,89,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,28,0.7625,0.9375,0
91,RANDOM,EXAMPLE,90,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,26,0.7625,0.9375,0
92,RANDOM,EXAMPLE,91,-1,0.8125,0.875,2.0,5.0,5.0,0.0,2.0,2.0,2.0,0,28,0.78125,0.875,0
93,RANDOM,EXAMPLE,92,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0,28,0.7375,0.9375,0
94,RANDOM,EXAMPLE,93,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,27,0.7,0.875,0
95,RANDOM,EXAMPLE,94,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,30,0.696875,0.875,0
96,RANDOM,EXAMPLE,95,-1,0.8125,0.8125,1.0,3.0,4.0,0.0,1.0,2.0,2.0,0,30,0.73125,0.8125,0
97,RANDOM,EXAMPLE,96,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,30,0.709375,0.875,0
98,RANDOM,EXAMPLE,97,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,0,28,0.728125,0.875,0
99,RANDOM,EXAMPLE,98,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,0,28,0.725,0.875,0
100,RANDOM,EXAMPLE,99,-1,0.6875,0.875,3.0,6.0,5.0,0.0,3.0,2.0,2.0,0,29,0.69375,0.875,0
1,RANDOM,REGISTER,0,-1,0.98046875,0.9921875,4.0,1.0,3.0,0.0,4.0,2.5,2.5,1,189,0.9507013494318182,0.9921875,0
2,RANDOM,REGISTER,1,-1,0.8994140625,0.966796875,2.0,8.0,6.0,0.0,2.0,2.5,2.5,1,166,0.9128196022727273,0.966796875,0
3,RANDOM,REGISTER,2,-1,0.9521484375,0.9765625,1.0,3.0,2.0,0.0,1.0,2.5,2.5,0,159,0.9516956676136363,0.9765625,0
4,RANDOM,REGISTER,3,-1,0.794921875,0.9501953125,6.0,8.0,8.0,0.0,6.0,2.5,2.5,1,147,0.8581321022727273,0.9501953125,0
5,RANDOM,REGISTER,4,-1,0.984375,1.0,3.0,3.0,0.0,0.0,3.0,2.5,2.5,0,65,0.96560546875,1.0,1
6,RANDOM,REGISTER,5,-1,0.8935546875,0.9609375,1.0,6.0,5.0,0.0,1.0,2.5,2.5,0,148,0.9032848011363637,0.9609375,0
7,RANDOM,REGISTER,6,-1,0.9521484375,0.9921875,2.0,3.0,1.0,0.0,2.0,2.5,2.5,1,149,0.9374822443181818,0.9921875,0
8,RANDOM,REGISTER,7,-1,0.8828125,0.98046875,6.0,6.0,1.0,0.0,6.0,2.5,2.5,1,146,0.9042258522727272,0.98046875,0
9,RANDOM,REGISTER,8,-1,0.921875,0.9609375,4.0,3.0,5.0,0.0,4.0,2.5,2.5,1,155,0.9071377840909091,0.9609375,0
10,RANDOM,REGISTER,9,-1,0.98046875,1.0,1.0,1.0,0.0,0.0,1.0,2.5,2.5,0,5,0.956298828125,1.0,1
11,RANDOM,REGISTER,10,-1,0.951171875,1.0,2.0,2.0,0.0,0.0,2.0,2.5,2.5,1,112,0.9403789569805194,1.0,1
12,RANDOM,REGISTER,11,-1,0.9609375,0.984375,3.0,7.0,4.0,0.0,3.0,2.5,2.5,0,150,0.9466441761363636,0.984375,0
13,RANDOM,REGISTER,12,-1,0.98046875,0.984375,2.0,1.0,1.0,0.0,2.0,2.5,2.5,1,146,0.9421608664772727,0.984375,0
14,RANDOM,REGISTER,13,-1,0.9453125,0.98046875,6.0,7.0,1.0,0.0,6.0,2.5,2.5,1,152,0.9244318181818182,0.98046875,0
15,RANDOM,REGISTER,14,-1,0.951171875,0.98046875,1.0,2.0,1.0,0.0,1.0,2.5,2.5,0,150,0.9292613636363637,0.98046875,0
16,RANDOM,REGISTER,15,-1,0.9521484375,0.9609375,1.0,9.0,8.0,0.0,1.0,2.5,2.5,0,148,0.9476296164772727,0.9609375,0
17,RANDOM,REGISTER,16,-1,0.9609375,1.0,3.0,3.0,0.0,0.0,3.0,2.5,2.5,0,4,0.9674479166666666,1.0,1
18,RANDOM,REGISTER,17,-1,0.9296875,0.9609375,1.0,4.0,3.0,0.0,1.0,2.5,2.5,0,149,0.9187766335227273,0.9609375,0
19,RANDOM,REGISTER,18,-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,1,78,0.9713320974576272,1.0,1
20,RANDOM,REGISTER,19,-1,0.953125,0.9765625,4.0,6.0,2.0,0.0,4.0,2.5,2.5,1,152,0.9528941761363636,0.9765625,0
21,RANDOM,REGISTER,20,-1,0.892578125,0.98046875,4.0,5.0,1.0,0.0,4.0,2.5,2.5,1,149,0.8803799715909091,0.98046875,0
22,RANDOM,REGISTER,21,-1,0.919921875,0.97265625,4.0,8.0,4.0,0.0,4.0,2.5,2.5,1,152,0.9223987926136363,0.97265625,0
23,RANDOM,REGISTER,22,-1,0.892578125,0.955078125,4.0,5.0,3.0,0.0,4.0,2.5,2.5,1,147,0.8872514204545454,0.955078125,0
24,RANDOM,REGISTER,23,-1,0.84375,0.951171875,6.0,7.0,2.0,0.0,6.0,2.5,2.5,1,138,0.8665926846590909,0.951171875,0
25,RANDOM,REGISTER,24,-1,0.8681640625,0.9609375,2.0,10.0,8.0,0.0,2.0,2.5,2.5,1,147,0.9023792613636363,0.9609375,0
26,RANDOM,REGISTER,25,-1,0.8974609375,0.9609375,3.0,9.0,6.0,0.0,3.0,2.5,2.5,1,138,0.9189808238636363,0.9609375,0
27,RANDOM,REGISTER,26,-1,0.9609375,0.98046875,3.0,3.0,1.0,0.0,3.0,2.5,2.5,0,147,0.9173739346590909,0.98046875,0
