id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
64,TRUNCATION_2PERCENT,EXAMPLE,63,-1,0.625,0.75,4.0,9.0,6.0,0.0,4.0,1.3333333333333333,1.0,7,245,0.75,0.75,0
65,TRUNCATION_2PERCENT,EXAMPLE,64,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,63,0.8,1.0,1
66,TRUNCATION_2PERCENT,EXAMPLE,65,-1,0.625,0.75,4.0,8.0,6.0,0.0,4.0,1.3333333333333333,1.0,7,245,0.75,0.75,0
67,TRUNCATION_2PERCENT,EXAMPLE,66,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,65,0.775,1.0,1
68,TRUNCATION_2PERCENT,EXAMPLE,67,-1,0.75,0.75,3.0,7.0,6.0,0.0,3.0,2.0,1.5,7,248,0.7,0.75,0
69,TRUNCATION_2PERCENT,EXAMPLE,68,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,91,0.775,1.0,1
70,TRUNCATION_2PERCENT,EXAMPLE,69,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,62,0.89375,1.0,1
71,TRUNCATION_2PERCENT,EXAMPLE,70,-1,0.625,0.75,3.0,7.0,4.0,0.0,3.0,2.0,1.5,7,242,0.675,0.75,0
72,TRUNCATION_2PERCENT,EXAMPLE,71,-1,0.875,0.75,3.0,8.0,6.0,0.0,3.0,2.0,1.5,5,181,0.71875,0.75,0
73,TRUNCATION_2PERCENT,EXAMPLE,72,-1,0.875,0.75,4.0,8.0,4.0,0.0,4.0,1.3333333333333333,1.0,5,184,0.75,0.75,0
74,TRUNCATION_2PERCENT,EXAMPLE,73,-1,0.625,0.75,4.0,7.0,4.0,0.0,4.0,1.3333333333333333,1.0,7,247,0.75,0.75,0
75,TRUNCATION_2PERCENT,EXAMPLE,74,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,62,0.86875,1.0,1
